,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
48,Kangemi,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:46:31.481102,Kitale,Uthiru,1000,2019-09-05,Kitale,Uthiru,48.0
49,Railways,08:30 AM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:46:40.786982,Kakamega,Nairobi,1450,2019-09-05,Kakamega,Nairobi,17.0
50,Railways,09:00 AM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:46:40.787000,Kakamega,Nairobi,1450,2019-09-05,Kakamega,Nairobi,25.0
51,Railways,07:45 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:46:40.787003,Kakamega,Nairobi,1450,2019-09-05,Kakamega,Nairobi,27.0
52,Railways,09:00 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:46:40.787006,Kakamega,Nairobi,1450,2019-09-05,Kakamega,Nairobi,20.0
53,Country Bus,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:46:44.690807,Kimaiti,Westlands,1000,2019-09-05,Kimaiti,Westlands,48.0
54,Jkia @ Paul's Cafe,08:15 AM,"Thu,Sep 05,2019",East African Shuttles,2019-09-04 00:46:46.588823,Arusha,Parkside Hotel,2500,2019-09-05,Arusha,Parkside%20hotel,22.0
55,Jkia @ Paul's Cafe,02:00 PM,"Thu,Sep 05,2019",East African Shuttles,2019-09-04 00:46:46.588849,Arusha,Parkside Hotel,2500,2019-09-05,Arusha,Parkside%20hotel,22.0
56,Chavakali,08:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:46:48.666400,Naivasha,Kakamega,700,2019-09-05,Naivasha,Kakamega,67.0
57,NAKURU,10:00 AM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:46:54.278374,Busia,Nakuru,1000,2019-09-05,Busia,Nakuru,15.0
58,NAKURU,10:00 AM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:46:54.278393,Busia,Nakuru,1000,2019-09-05,Busia,Nakuru,25.0
59,NAKURU,10:00 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:46:54.278396,Busia,Nakuru,1000,2019-09-05,Busia,Nakuru,24.0
60,NAKURU,10:30 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:46:54.278398,Busia,Nakuru,1000,2019-09-05,Busia,Nakuru,15.0
61,Cheptais,05:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:46:57.790102,Uthiru,Cheptais,1000,2019-09-05,Uthiru,Cheptais,65.0
62,Cheptais,05:30 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:46:57.790120,Uthiru,Cheptais,1000,2019-09-05,Uthiru,Cheptais,66.0
63,Cheptais,06:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:46:57.790123,Uthiru,Cheptais,800,2019-09-05,Uthiru,Cheptais,67.0
64,Cheptais,07:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:46:57.790126,Uthiru,Cheptais,800,2019-09-05,Uthiru,Cheptais,67.0
65,Cheptais,07:10 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:46:57.790128,Uthiru,Cheptais,800,2019-09-05,Uthiru,Cheptais,48.0
66,Esidende,06:30 AM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:00.721143,Kangemi,Z,600,2019-09-05,Kangemi,Z,67.0
67,Esidende,05:30 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:00.721162,Kangemi,Z,600,2019-09-05,Kangemi,Z,67.0
68,Country Bus,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:03.699286,Jua Kali,Nakuru,1000,2019-09-05,Jua%20kali,Nakuru,48.0
69,Kangemi,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:07.515589,Moisbridge,Kangemi,1000,2019-09-05,Moisbridge,Kangemi,47.0
70,Kangemi,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:07.515608,Moisbridge,Kangemi,1000,2019-09-05,Moisbridge,Kangemi,48.0
71,Cheptais,06:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:09.407152,Uthiru,Chwele,800,2019-09-05,Uthiru,Chwele,67.0
72,Cheptais,07:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:09.407170,Uthiru,Chwele,800,2019-09-05,Uthiru,Chwele,67.0
73,Cheptais,07:10 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:09.407173,Uthiru,Chwele,800,2019-09-05,Uthiru,Chwele,48.0
74,Country Bus,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:12.476031,Lwakhakha,Uthiru,1000,2019-09-05,Lwakhakha,Uthiru,48.0
75,MBITA,08:00 AM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:47:15.049333,Homa Bay,Mbita,1000,2019-09-05,Homa%20Bay,Mbita,30.0
76,MBITA,07:45 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:47:15.049354,Homa Bay,Mbita,1000,2019-09-05,Homa%20Bay,Mbita,28.0
77,Bishop Muge,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:17.432325,Nakuru,Kwa Muthoni,1200,2019-09-05,Nakuru,Kwa%20muthoni,48.0
78,Bishop Muge,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:17.432366,Nakuru,Kwa Muthoni,800,2019-09-05,Nakuru,Kwa%20muthoni,67.0
79,Country Bus,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:20.435583,Tulienge,Westlands,1000,2019-09-05,Tulienge,Westlands,48.0
80,Cheptais,06:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:22.622855,Naivasha,Turbo,800,2019-09-05,Naivasha,Turbo,67.0
81,Cheptais,07:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:22.622866,Naivasha,Turbo,800,2019-09-05,Naivasha,Turbo,67.0
82,Cheptais,07:10 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:22.622869,Naivasha,Turbo,800,2019-09-05,Naivasha,Turbo,48.0
83,Chavakali,08:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:24.561314,Kangemi,Chavakali,700,2019-09-05,Kangemi,Chavakali,67.0
84,NDORI,04:45 AM,"Wed,Sep 04,2019",EasyCoach,2019-09-04 00:47:27.247887,Usenge,Ndori,100,2019-09-05,Usenge,Ndori,10.0
85,NDORI,04:15 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:47:27.247908,Usenge,Ndori,100,2019-09-05,Usenge,Ndori,25.0
86,Amagoro,07:10 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:29.379223,Uthiru,Kocholia,700,2019-09-05,Uthiru,Kocholia,66.0
87,Amagoro,08:30 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:29.379242,Uthiru,Kocholia,800,2019-09-05,Uthiru,Kocholia,48.0
88,Country Bus,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:31.388429,Cheptais,Uthiru,1000,2019-09-05,Cheptais,Uthiru,48.0
89,Cheptais,05:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:34.261734,Total,Lwandanyi,1000,2019-09-05,Total,Lwandanyi,65.0
90,Cheptais,05:30 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:34.261754,Total,Lwandanyi,1000,2019-09-05,Total,Lwandanyi,66.0
91,Cheptais,06:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:34.261757,Total,Lwandanyi,800,2019-09-05,Total,Lwandanyi,67.0
92,Cheptais,07:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:34.261760,Total,Lwandanyi,800,2019-09-05,Total,Lwandanyi,67.0
93,Cheptais,07:10 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:34.261762,Total,Lwandanyi,800,2019-09-05,Total,Lwandanyi,48.0
94,Bishop Muge,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:36.025022,Main Office,Mailisaba,1200,2019-09-05,Main%20Office,Mailisaba,48.0
95,Bishop Muge,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:36.025043,Main Office,Mailisaba,800,2019-09-05,Main%20Office,Mailisaba,67.0
96,Bishop Muge,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:37.944573,Westlands,Sirende,1200,2019-09-05,Westlands,Sirende,48.0
97,Bishop Muge,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:37.944591,Westlands,Sirende,800,2019-09-05,Westlands,Sirende,67.0
98,Bukembe,08:00 AM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:41.082129,Country Bus,Jua Kali,700,2019-09-05,Country%20bus,Jua%20kali,67.0
99,Bukembe,08:00 AM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:41.082148,Country Bus,Jua Kali,800,2019-09-05,Country%20bus,Jua%20kali,48.0
100,Bukembe,08:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:41.082151,Country Bus,Jua Kali,700,2019-09-05,Country%20bus,Jua%20kali,67.0
101,Bukembe,08:30 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:41.082154,Country Bus,Jua Kali,800,2019-09-05,Country%20bus,Jua%20kali,48.0
102,Country Bus,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:44.556113,Cheptais,Westlands,1000,2019-09-05,Cheptais,Westlands,48.0
103,Country Bus,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:48.096225,Webuye,Naivasha,1000,2019-09-05,Webuye,Naivasha,48.0
