,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
14876,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:14:43.561322,Nakuru,Sirende,600,2019-08-28,Nakuru,Sirende,67.0
14877,Ugunja,12:30 AM,"Tue,Aug 27,2019",EasyCoach,2019-08-18 01:14:49.653482,Kericho,Ugunja,800,2019-08-28,Kericho,Ugunja,0.0
14878,Ugunja,08:30 AM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:14:49.653500,Kericho,Ugunja,800,2019-08-28,Kericho,Ugunja,31.0
14879,Ugunja,07:45 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:14:49.653503,Kericho,Ugunja,800,2019-08-28,Kericho,Ugunja,32.0
14880,Ugunja,08:00 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:14:49.653505,Kericho,Ugunja,800,2019-08-28,Kericho,Ugunja,32.0
14881,Kangemi,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:14:52.596465,Ostrich,Kangemi,1000,2019-08-28,Ostrich,Kangemi,48.0
14882,Kangemi,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:14:52.596483,Ostrich,Kangemi,1000,2019-08-28,Ostrich,Kangemi,48.0
14883,Country Bus,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:14:56.946554,Lwandeti,Westlands,1000,2019-08-28,Lwandeti,Westlands,48.0
14884,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:14:59.119315,Uthiru,Kwa Muthoni,1000,2019-08-28,Uthiru,Kwa%20muthoni,48.0
14885,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:14:59.119334,Uthiru,Kwa Muthoni,600,2019-08-28,Uthiru,Kwa%20muthoni,67.0
14886,Country Bus,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:01.274328,Kimwanga,Nakuru,1000,2019-08-28,Kimwanga,Nakuru,48.0
14887,Country Bus,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:03.229874,Tulienge,Naivasha,1000,2019-08-28,Tulienge,Naivasha,48.0
